task,strategy,input,prompt,response,tokens_total,execution_time
QA,Few-shot,What is the chemical symbol for Gold?,"Question: What is 2 + 2?
Answer: 4

Question: What is the capital of Japan?
Answer: Tokyo

Question: What is the chemical symbol for Gold?
Answer:",,146,1.295773983001709
QA,Few-shot,How many continents are there on Earth?,"Question: What is 2 + 2?
Answer: 4

Question: What is the capital of Japan?
Answer: Tokyo

Question: How many continents are there on Earth?
Answer:",,146,1.1290020942687988
QA,Few-shot,What is the speed of light in vacuum (approximate km/s)?,"Question: What is 2 + 2?
Answer: 4

Question: What is the capital of Japan?
Answer: Tokyo

Question: What is the speed of light in vacuum (approximate km/s)?
Answer:",,152,1.1878042221069336
QA,Few-shot,Who painted the Mona Lisa?,"Question: What is 2 + 2?
Answer: 4

Question: What is the capital of Japan?
Answer: Tokyo

Question: Who painted the Mona Lisa?
Answer:",,144,1.067176103591919
QA,Few-shot,What is the largest mammal in the world?,"Question: What is 2 + 2?
Answer: 4

Question: What is the capital of Japan?
Answer: Tokyo

Question: What is the largest mammal in the world?
Answer:",,148,0.9266653060913086
QA,Few-shot,In what year did the Titanic sink?,"Question: What is 2 + 2?
Answer: 4

Question: What is the capital of Japan?
Answer: Tokyo

Question: In what year did the Titanic sink?
Answer:",,146,1.3209457397460938
QA,Few-shot,What comes after the number 99?,"Question: What is 2 + 2?
Answer: 4

Question: What is the capital of Japan?
Answer: Tokyo

Question: What comes after the number 99?
Answer:",,146,1.434255838394165
QA,Few-shot,What is the boiling point of water at sea level?,"Question: What is 2 + 2?
Answer: 4

Question: What is the capital of Japan?
Answer: Tokyo

Question: What is the boiling point of water at sea level?
Answer:",,149,1.536257028579712
QA,Chain-of-Thought,What is the capital of France?,"Answer the question by thinking through it step-by-step.
Question: What is the capital of France?
Reasoning and Answer:
",,131,1.741934061050415
QA,Chain-of-Thought,Who wrote 'Romeo and Juliet'?,"Answer the question by thinking through it step-by-step.
Question: Who wrote 'Romeo and Juliet'?
Reasoning and Answer:
",,133,2.132688045501709
QA,Chain-of-Thought,What is the chemical symbol for Gold?,"Answer the question by thinking through it step-by-step.
Question: What is the chemical symbol for Gold?
Reasoning and Answer:
",,132,1.140920877456665
QA,Chain-of-Thought,How many continents are there on Earth?,"Answer the question by thinking through it step-by-step.
Question: How many continents are there on Earth?
Reasoning and Answer:
",,132,1.4451279640197754
QA,Chain-of-Thought,What is the speed of light in vacuum (approximate km/s)?,"Answer the question by thinking through it step-by-step.
Question: What is the speed of light in vacuum (approximate km/s)?
Reasoning and Answer:
",,138,1.219752311706543
QA,Chain-of-Thought,Who painted the Mona Lisa?,"Answer the question by thinking through it step-by-step.
Question: Who painted the Mona Lisa?
Reasoning and Answer:
",,130,1.1250498294830322
QA,Chain-of-Thought,What is the largest mammal in the world?,"Answer the question by thinking through it step-by-step.
Question: What is the largest mammal in the world?
Reasoning and Answer:
",,134,0.9835288524627686
QA,Chain-of-Thought,In what year did the Titanic sink?,"Answer the question by thinking through it step-by-step.
Question: In what year did the Titanic sink?
Reasoning and Answer:
",,132,2.001452922821045
QA,Chain-of-Thought,What comes after the number 99?,"Answer the question by thinking through it step-by-step.
Question: What comes after the number 99?
Reasoning and Answer:
",,132,1.215696096420288
QA,Chain-of-Thought,What is the boiling point of water at sea level?,"Answer the question by thinking through it step-by-step.
Question: What is the boiling point of water at sea level?
Reasoning and Answer:
",,135,1.6342461109161377
QA,Custom (Persona),What is the capital of France?,"You are a helpful professor. Answer this question clearly and concisely.
Question: What is the capital of France?",,130,6.053897857666016
QA,Custom (Persona),Who wrote 'Romeo and Juliet'?,"You are a helpful professor. Answer this question clearly and concisely.
Question: Who wrote 'Romeo and Juliet'?",,131,1.199012279510498
QA,Custom (Persona),What is the chemical symbol for Gold?,"You are a helpful professor. Answer this question clearly and concisely.
Question: What is the chemical symbol for Gold?",,131,1.0503127574920654
QA,Custom (Persona),How many continents are there on Earth?,"You are a helpful professor. Answer this question clearly and concisely.
Question: How many continents are there on Earth?",,131,1.426527976989746
QA,Custom (Persona),What is the speed of light in vacuum (approximate km/s)?,"You are a helpful professor. Answer this question clearly and concisely.
Question: What is the speed of light in vacuum (approximate km/s)?",,137,1.2655301094055176
QA,Custom (Persona),Who painted the Mona Lisa?,"You are a helpful professor. Answer this question clearly and concisely.
Question: Who painted the Mona Lisa?",,129,1.400697946548462
QA,Custom (Persona),What is the largest mammal in the world?,"You are a helpful professor. Answer this question clearly and concisely.
Question: What is the largest mammal in the world?",,133,1.8384358882904053
QA,Custom (Persona),In what year did the Titanic sink?,"You are a helpful professor. Answer this question clearly and concisely.
Question: In what year did the Titanic sink?",,131,1.3399500846862793
QA,Custom (Persona),What comes after the number 99?,"You are a helpful professor. Answer this question clearly and concisely.
Question: What comes after the number 99?",,131,1.1406068801879883
QA,Custom (Persona),What is the boiling point of water at sea level?,"You are a helpful professor. Answer this question clearly and concisely.
Question: What is the boiling point of water at sea level?",,134,1.3088490962982178
